[crawl-bbfb] sets total=3300 todo=3300 | apiCalls so far=807 budget=130000
Loading existing cardhedge ids...(node:411923) Warning: SECURITY WARNING: The SSL modes 'prefer', 'require', and 'verify-ca' are treated as aliases for 'verify-full'.
In the next major version (pg-connection-string v3.0.0 and pg v9.0.0), these modes will adopt standard libpq semantics, which have weaker security guarantees.

To prepare for this change:
- If you want the current behavior, explicitly use 'sslmode=verify-full'
- If you want libpq compatibility now, use 'uselibpqcompat=true&sslmode=require'

See https://www.postgresql.org/docs/current/libpq-ssl.html for libpq SSL mode definitions.
(Use `node --trace-warnings ...` to show where the warning was created)
 448,474
[WARN] slice still capped beyond 2x: "2024 Panini Prizm Football" search="null" expect=28055
[WARN] slice still capped beyond 2x: "2025 Panini Prizm Football" search="null" expect=33261
[WARN] slice still capped beyond 2x: "2025 Topps Chrome Football" search="null" expect=37286
[WARN] slice still capped beyond 2x: "2025 Topps Chrome Basketball" search="null" expect=29936
[122/3300] "2023 Panini Contenders Basketball" +21595 | rows=1,531,421 calls=39,557 | 86.1min
[123/3300] "2025 Panini Certified Football" +26252 | rows=1,539,068 calls=39,630 | 86.2min
[124/3300] "2025 Topps Chrome Sapphire Football" +16384 | rows=1,545,798 calls=39,691 | 86.4min
[125/3300] "2023 Panini Limited Football" +17688 | rows=1,545,853 calls=39,692 | 86.4min
[126/3300] "2023 Panini Prizm WNBA Basketball" +19982 | rows=1,551,403 calls=39,745 | 86.7min
[127/3300] "2024 Panini Illusions Football" +22340 | rows=1,561,408 calls=39,821 | 86.8min
[128/3300] "2023 Donruss Turkish Airlines EuroLeague Basketball" +19000 | rows=1,564,853 calls=39,851 | 86.8min
[129/3300] "2023 Topps Chrome McDonald's All American Basketball" +20930 | rows=1,566,728 calls=39,867 | 86.9min
[130/3300] "2023 Donruss Elite Football" +18982 | rows=1,570,385 calls=39,893 | 86.9min
[131/3300] "2024 Panini PhotoGenic Basketball" +19295 | rows=1,580,703 calls=39,971 | 87.0min
[132/3300] "2023 Panini Court Kings Basketball" +19041 | rows=1,583,894 calls=39,996 | 87.0min
[133/3300] "2022 Panini Origins Basketball" +18331 | rows=1,585,059 calls=40,005 | 87.0min
[134/3300] "2022 Topps Chrome McDonald's All American Basketball" +17792 | rows=1,588,177 calls=40,030 | 87.0min
[135/3300] "2023 Panini Score Football" +16563 | rows=1,597,266 calls=40,108 | 87.1min
[136/3300] "2024 Panini Prizm Monopoly Basketball" +16261 | rows=1,600,155 calls=40,138 | 87.1min
[137/3300] "2021 Panini Court Kings Basketball" +15147 | rows=1,600,206 calls=40,138 | 87.1min
[138/3300] "2025 Topps Chrome Sapphire Basketball" +14453 | rows=1,602,630 calls=40,157 | 87.1min
[139/3300] "2024 Panini Origins Basketball" +16203 | rows=1,613,469 calls=40,227 | 87.2min
[140/3300] "2023 Panini Luminance Football" +18959 | rows=1,619,165 calls=40,266 | 87.3min
[141/3300] "2023 Panini Prizm Monopoly Basketball" +19215 | rows=1,619,370 calls=40,269 | 87.3min
[142/3300] "2022 Panini Court Kings Basketball" +18399 | rows=1,621,029 calls=40,283 | 87.3min
[143/3300] "2024 Panini Obsidian Football" +15343 | rows=1,628,812 calls=40,350 | 87.6min
[144/3300] "2023 Panini Clearly Donruss Football" +12095 | rows=1,631,260 calls=40,369 | 87.7min
[145/3300] "2025 Topps Chrome Cactus Jack Basketball" +8188 | rows=1,637,000 calls=40,427 | 87.8min
[146/3300] "2024 Panini Prizm Monopoly WNBA Basketball" +21314 | rows=1,640,684 calls=40,464 | 87.8min
[MV refresh periodic] start 2026-07-09T23:02:10.809Z
[147/3300] "2024 Panini Court Kings Basketball" +9424 | rows=1,640,684 calls=40,464 | 87.8min
[148/3300] "2024 Panini Zenith Football" +24695 | rows=1,645,724 calls=40,511 | 87.9min
[149/3300] "2025 Topps Inception Basketball" +11084 | rows=1,648,084 calls=40,535 | 87.9min
[150/3300] "2019 Panini Absolute Football" +8448 | rows=1,649,132 calls=40,547 | 87.9min
[151/3300] "1999 Pacific Football" +9574 | rows=1,658,706 calls=40,632 | 88.0min
[152/3300] "2025 Bowman Chrome Sapphire Basketball" +13636 | rows=1,659,360 calls=40,640 | 88.0min
[153/3300] "2021 Panini Mosaic Basketball" +19852 | rows=1,660,536 calls=40,649 | 88.1min
[154/3300] "2024 Topps Inception Basketball" +13481 | rows=1,661,565 calls=40,659 | 88.1min
[155/3300] "2025 Panini Origins EuroLeague Basketball" +14082 | rows=1,672,788 calls=40,746 | 88.2min
[156/3300] "2025 Panini Contenders EuroLeague Basketball" +13523 | rows=1,672,883 calls=40,747 | 88.2min
[157/3300] "2023 Panini PhotoGenic Basketball" +13913 | rows=1,674,449 calls=40,760 | 88.2min
[158/3300] "2023 Panini Legacy Football" +14240 | rows=1,675,805 calls=40,774 | 88.2min
[159/3300] "2018 Panini Court Kings Basketball" +12891 | rows=1,685,679 calls=40,855 | 88.3min
[160/3300] "2024 Panini Noir Basketball" +13277 | rows=1,686,160 calls=40,863 | 88.3min
[MV refresh periodic] done 2026-07-09T23:02:43.127Z
[161/3300] "2025 Panini Origins Football" +12421 | rows=1,688,226 calls=40,883 | 88.4min
[162/3300] "2018 Panini Prizm Basketball" +13915 | rows=1,688,364 calls=40,885 | 88.4min
[163/3300] "2025 Panini Luminance Football" +7994 | rows=1,694,154 calls=40,939 | 88.7min
[164/3300] "2023 Panini Impeccable Football" +6855 | rows=1,695,219 calls=40,949 | 88.7min
[165/3300] "2023 Panini One and One Basketball" +7223 | rows=1,701,377 calls=41,004 | 88.8min
[166/3300] "2023 Topps Chrome Sapphire Basketball" +8010 | rows=1,703,229 calls=41,022 | 88.8min
[167/3300] "2019 Panini Origins Football" +18939 | rows=1,704,618 calls=41,036 | 88.8min
[168/3300] "2024 Topps Chrome Sapphire Basketball" +19665 | rows=1,707,891 calls=41,066 | 88.8min
[169/3300] "2024 Topps G-League Basketball" +9736 | rows=1,711,113 calls=41,094 | 88.8min
[170/3300] "2019 Panini Obsidian Football" +10160 | rows=1,713,389 calls=41,111 | 88.9min
[171/3300] "2019 Panini Chronicles Basketball" +11535 | rows=1,716,153 calls=41,133 | 88.9min
[172/3300] "2023 Topps G-League Basketball" +10555 | rows=1,718,446 calls=41,156 | 88.9min
[173/3300] "2025 Bowman Chrome University Sapphire Football" +10927 | rows=1,722,040 calls=41,183 | 88.9min
[174/3300] "2017 Panini Cornerstones Basketball" +10813 | rows=1,724,202 calls=41,199 | 88.9min
[175/3300] "2001 Fleer Ultra Baseball" +6203 | rows=1,730,405 calls=41,244 | 89.0min
[176/3300] "1995 Collector's Edge Football" +12610 | rows=1,731,056 calls=41,251 | 89.0min
[177/3300] "2021 Panini Origins Basketball" +10864 | rows=1,732,904 calls=41,269 | 89.0min
[178/3300] "1995 Collector's Edge Excalibur Football" +6788 | rows=1,737,193 calls=41,323 | 89.1min
[179/3300] "2024 Panini Haunted Hoops Basketball" +7929 | rows=1,738,985 calls=41,338 | 89.1min
[180/3300] "2024 Panini Silhouette Basketball" +9157 | rows=1,742,061 calls=41,357 | 89.1min
[181/3300] "2022 Panini Select Football" +31273 | rows=1,747,426 calls=41,391 | 89.1min
[182/3300] "2021 Donruss Optic Basketball" +12285 | rows=1,749,478 calls=41,406 | 89.2min
[183/3300] "2022 Panini Zenith Football" +11953 | rows=1,750,938 calls=41,418 | 89.2min
[184/3300] "2020 Panini Flux Basketball" +11362 | rows=1,753,423 calls=41,439 | 89.2min
[185/3300] "2025 Panini Signature Series Basketball" +9294 | rows=1,756,720 calls=41,468 | 89.2min
[186/3300] "2021 Panini Select Basketball" +10127 | rows=1,759,605 calls=41,489 | 89.2min
[187/3300] "2025 Topps NBL Basketball" +9494 | rows=1,760,432 calls=41,498 | 89.2min
[188/3300] "2020 Panini Prizm Basketball" +9550 | rows=1,762,973 calls=41,525 | 89.3min
[189/3300] "2024 Topps Chrome NBL Basketball" +7831 | rows=1,764,551 calls=41,549 | 89.3min
[190/3300] "1994 Topps Stadium Club Basketball" +5386 | rows=1,764,991 calls=41,555 | 89.3min
[191/3300] "2022 Panini PhotoGenic Basketball" +6867 | rows=1,767,299 calls=41,574 | 89.3min
[192/3300] "2024 Panini One and One Basketball" +6663 | rows=1,769,636 calls=41,593 | 89.3min
[193/3300] "2022 Panini Revolution Basketball" +7156 | rows=1,771,707 calls=41,610 | 89.4min
[194/3300] "2024 Panini National Treasures Basketball" +5574 | rows=1,772,873 calls=41,620 | 89.4min
[195/3300] "2022 Panini Prizm Monopoly Basketball" +6859 | rows=1,776,495 calls=41,653 | 89.7min
[197/3300] "2023 Panini Black Basketball" +3666 | rows=1,782,883 calls=41,720 | 89.8min
[198/3300] "2025 Panini NFL Sticker & Card Collection Football" +13017 | rows=1,785,890 calls=41,746 | 89.9min
[199/3300] "2023 Panini Chronicles Draft Picks Football" +16187 | rows=1,787,894 calls=41,768 | 89.9min
[200/3300] "2023 Panini Crown Royale Turkish Airlines EuroLeague Basketball" +6477 | rows=1,789,360 calls=41,784 | 89.9min
[201/3300] "1995 Upper Deck Collector's Choice Basketball" +6215 | rows=1,794,109 calls=41,833 | 90.0min
[202/3300] "2025 Panini Silhouette Football" +5648 | rows=1,795,008 calls=41,843 | 90.0min
[203/3300] "2024 Bowman Chrome University Sapphire Basketball" +6132 | rows=1,801,140 calls=41,900 | 90.1min
[204/3300] "2025 Panini Score-A-Treat Football" +7137 | rows=1,801,246 calls=41,901 | 90.1min
[205/3300] "2025 Panini Donruss Football" +42178 | rows=1,807,169 calls=41,949 | 90.1min
[206/3300] "2012 Panini Hoops Basketball" +6573 | rows=1,807,713 calls=41,954 | 90.1min
[207/3300] "2021 Panini Donruss Basketball" +7615 | rows=1,808,861 calls=41,965 | 90.1min
[208/3300] "2022 Panini Revolution WNBA Basketball" +8426 | rows=1,815,595 calls=42,008 | 90.2min
[209/3300] "2015 Panini Prizm Basketball" +8732 | rows=1,816,445 calls=42,015 | 90.2min
[210/3300] "2020 Panini Hoops Basketball" +8821 | rows=1,817,682 calls=42,025 | 90.2min
[211/3300] "2023 Panini Haunted Hoops Basketball" +8147 | rows=1,823,742 calls=42,072 | 90.2min
[212/3300] "1994 Upper Deck Collector's Choice Basketball" +7297 | rows=1,823,742 calls=42,072 | 90.2min
[213/3300] "1995 Pacific Football" +6836 | rows=1,824,518 calls=42,080 | 90.3min
[214/3300] "2020 Donruss Optic Basketball" +6327 | rows=1,830,069 calls=42,123 | 90.3min
[215/3300] "2023 Panini Origins WNBA Basketball" +7320 | rows=1,831,062 calls=42,132 | 90.3min
[216/3300] "1999 Bowman Chrome Football" +6715 | rows=1,831,233 calls=42,134 | 90.3min
[218/3300] "2017 Panini Prizm Basketball" +5947 | rows=1,836,016 calls=42,179 | 90.4min
[219/3300] "2019 Panini Hoops Premium Stock Basketball" +6024 | rows=1,837,257 calls=42,190 | 90.4min
[221/3300] "2025 Upper Deck CFL Football" +7399 | rows=1,843,259 calls=42,247 | 90.5min
[222/3300] "2020 Panini Mosaic Basketball" +7282 | rows=1,843,298 calls=42,248 | 90.5min
[225/3300] "1999 Fleer Ultra Football" +4823 | rows=1,848,082 calls=42,315 | 90.8min
[229/3300] "1999 Topps Football" +3946 | rows=1,853,934 calls=42,397 | 90.8min
[234/3300] "2019 Panini Mosaic Basketball" +4905 | rows=1,860,059 calls=42,456 | 90.9min
[236/3300] "2012 Panini Prizm Basketball" +5237 | rows=1,863,260 calls=42,485 | 90.9min
[239/3300] "2019 Panini Prizm Football" +4641 | rows=1,867,901 calls=42,528 | 91.0min
[244/3300] "2017 Donruss Optic Basketball" +4542 | rows=1,875,193 calls=42,604 | 91.0min
[246/3300] "2024 Donruss Optic Football" +90533 | rows=1,876,423 calls=42,614 | 91.1min
[247/3300] "2024 Panini Score-a-Treat Football" +5161 | rows=1,876,531 calls=42,614 | 91.1min
[249/3300] "1994 Topps Basketball" +2354 | rows=1,878,777 calls=42,646 | 91.1min
[255/3300] "2025 Topps Chrome Cactus Jack X NBA All-Star Game Basketball" +2900 | rows=1,882,230 calls=42,688 | 91.1min
[260/3300] "1992 Topps Basketball" +2579 | rows=1,885,748 calls=42,750 | 91.4min
[266/3300] "1999 Topps Basketball" +5880 | rows=1,892,392 calls=42,808 | 91.7min
[267/3300] "1993 Upper Deck Basketball" +7220 | rows=1,892,968 calls=42,813 | 91.7min
[269/3300] "1999 Skybox Molten Metal Football" +8818 | rows=1,894,761 calls=42,828 | 91.8min
[271/3300] "2021 Panini Hoops Basketball" +3631 | rows=1,896,023 calls=42,843 | 91.8min
